ID,Student_ID,Subject_Name,Year,Term,Score,Grade
PERF221,STD004,English Studies,SS2,Second Term,85,A1
PERF222,STD004,English Studies,SS2,Third Term,91,A1
PERF223,STD004,English Studies,SS3,First Term,69,B3
PERF224,STD004,English Studies,SS3,Second Term,76,A1
PERF225,STD004,English Studies,SS3,Third Term,54,C6
PERF226,STD004,Mathematics,SS1,First Term,33,F9
PERF227,STD004,Mathematics,SS1,Second Term,31,F9
PERF228,STD004,Mathematics,SS1,Third Term,33,F9
PERF229,STD004,Mathematics,SS2,First Term,20,F9
PERF230,STD004,Mathematics,SS2,Second Term,70,B2
PERF231,STD004,Mathematics,SS2,Third Term,44,E8
PERF232,STD004,Mathematics,SS3,First Term,93,A1
PERF233,STD004,Mathematics,SS3,Second Term,40,E8
PERF234,STD004,Mathematics,SS3,Third Term,89,A1
PERF235,STD004,Civic Education,SS1,First Term,12,F9
PERF236,STD004,Civic Education,SS1,Second Term,80,A1
PERF237,STD004,Civic Education,SS1,Third Term,13,F9
PERF238,STD004,Civic Education,SS2,First Term,26,F9
PERF239,STD004,Civic Education,SS2,Second Term,80,A1
PERF240,STD004,Civic Education,SS2,Third Term,32,F9
PERF241,STD004,Civic Education,SS3,First Term,18,F9
PERF242,STD004,Civic Education,SS3,Second Term,13,F9
PERF243,STD004,Civic Education,SS3,Third Term,23,F9
PERF244,STD004,French,SS1,First Term,60,C4
PERF245,STD004,French,SS1,Second Term,51,C6
PERF246,STD004,French,SS1,Third Term,81,A1
PERF247,STD004,French,SS2,First Term,19,F9
PERF248,STD004,French,SS2,Second Term,78,A1
PERF249,STD004,French,SS2,Third Term,67,B3
PERF250,STD004,French,SS3,First Term,15,F9
PERF251,STD004,French,SS3,Second Term,85,A1
PERF252,STD004,French,SS3,Third Term,12,F9
PERF253,STD004,Economics,SS1,First Term,26,F9
PERF254,STD004,Economics,SS1,Second Term,39,F9
PERF255,STD004,Economics,SS1,Third Term,93,A1
PERF256,STD004,Economics,SS2,First Term,32,F9
PERF257,STD004,Economics,SS2,Second Term,54,C6
PERF258,STD004,Economics,SS2,Third Term,79,A1
PERF259,STD004,Economics,SS3,First Term,32,F9
PERF260,STD004,Economics,SS3,Second Term,87,A1
PERF261,STD004,Economics,SS3,Third Term,63,C4
PERF262,STD004,CRS/IRS,SS1,First Term,91,A1
PERF263,STD004,CRS/IRS,SS1,Second Term,17,F9
PERF264,STD004,CRS/IRS,SS1,Third Term,65,B3
PERF265,STD004,CRS/IRS,SS2,First Term,66,B3
PERF266,STD004,CRS/IRS,SS2,Second Term,59,C5
PERF267,STD004,CRS/IRS,SS2,Third Term,89,A1
PERF268,STD004,CRS/IRS,SS3,First Term,15,F9
PERF269,STD004,CRS/IRS,SS3,Second Term,67,B3
PERF270,STD004,CRS/IRS,SS3,Third Term,61,C4
PERF271,STD004,History,SS1,First Term,88,A1
PERF272,STD004,History,SS1,Second Term,85,A1
PERF273,STD004,History,SS1,Third Term,14,F9
PERF274,STD004,History,SS2,First Term,23,F9
PERF275,STD004,History,SS2,Second Term,36,F9
PERF276,STD004,History,SS2,Third Term,20,F9
PERF277,STD004,History,SS3,First Term,18,F9
PERF278,STD004,History,SS3,Second Term,35,F9
PERF279,STD004,History,SS3,Third Term,17,F9
PERF280,STD004,Data Processing,SS1,First Term,50,C6
PERF281,STD004,Data Processing,SS1,Second Term,90,A1
PERF282,STD004,Data Processing,SS1,Third Term,48,D7
PERF283,STD004,Data Processing,SS2,First Term,27,F9
PERF284,STD004,Data Processing,SS2,Second Term,60,C4
PERF285,STD004,Data Processing,SS2,Third Term,62,C4
PERF286,STD004,Data Processing,SS3,First Term,32,F9
PERF287,STD004,Data Processing,SS3,Second Term,24,F9
PERF288,STD004,Data Processing,SS3,Third Term,24,F9
PERF289,STD005,English Studies,SS1,First Term,92,A1
PERF290,STD005,English Studies,SS1,Second Term,35,F9
PERF291,STD005,English Studies,SS1,Third Term,26,F9
PERF292,STD005,English Studies,SS2,First Term,13,F9
PERF293,STD005,English Studies,SS2,Second Term,76,A1
PERF294,STD005,English Studies,SS2,Third Term,69,B3
PERF295,STD005,English Studies,SS3,First Term,75,A1
PERF296,STD005,English Studies,SS3,Second Term,19,F9
PERF297,STD005,English Studies,SS3,Third Term,60,C4
PERF298,STD005,Mathematics,SS1,First Term,71,B2
PERF299,STD005,Mathematics,SS1,Second Term,64,C4
PERF300,STD005,Mathematics,SS1,Third Term,77,A1
PERF301,STD005,Mathematics,SS2,First Term,30,F9
PERF302,STD005,Mathematics,SS2,Second Term,67,B3
PERF303,STD005,Mathematics,SS2,Third Term,91,A1
PERF304,STD005,Mathematics,SS3,First Term,26,F9
PERF305,STD005,Mathematics,SS3,Second Term,20,F9
PERF306,STD005,Mathematics,SS3,Third Term,12,F9
PERF307,STD005,Civic Education,SS1,First Term,32,F9
PERF308,STD005,Civic Education,SS1,Second Term,88,A1
PERF309,STD005,Civic Education,SS1,Third Term,91,A1
PERF310,STD005,Civic Education,SS2,First Term,48,D7
PERF311,STD005,Civic Education,SS2,Second Term,14,F9
PERF312,STD005,Civic Education,SS2,Third Term,17,F9
PERF313,STD005,Civic Education,SS3,First Term,12,F9
PERF314,STD005,Civic Education,SS3,Second Term,53,C6
PERF315,STD005,Civic Education,SS3,Third Term,17,F9
PERF316,STD005,Commerce,SS1,First Term,70,B2
PERF317,STD005,Commerce,SS1,Second Term,63,C4
PERF318,STD005,Commerce,SS1,Third Term,20,F9
PERF319,STD005,Commerce,SS2,First Term,95,A1
PERF320,STD005,Commerce,SS2,Second Term,17,F9
PERF321,STD005,Commerce,SS2,Third Term,36,F9
PERF322,STD005,Commerce,SS3,First Term,18,F9
PERF323,STD005,Commerce,SS3,Second Term,36,F9
PERF324,STD005,Commerce,SS3,Third Term,56,C5
PERF325,STD005,Accounting,SS1,First Term,65,B3
PERF326,STD005,Accounting,SS1,Second Term,32,F9
PERF327,STD005,Accounting,SS1,Third Term,55,C5
PERF328,STD005,Accounting,SS2,First Term,31,F9
PERF329,STD005,Accounting,SS2,Second Term,88,A1
PERF330,STD005,Accounting,SS2,Third Term,66,B3
PERF331,STD005,Accounting,SS3,First Term,31,F9
PERF332,STD005,Accounting,SS3,Second Term,42,E8
PERF333,STD005,Accounting,SS3,Third Term,15,F9
PERF334,STD005,Geography,SS1,First Term,82,A1
PERF335,STD005,Geography,SS1,Second Term,20,F9
PERF336,STD005,Geography,SS1,Third Term,52,C6
PERF337,STD005,Geography,SS2,First Term,14,F9
PERF338,STD005,Geography,SS2,Second Term,59,C5
PERF339,STD005,Geography,SS2,Third Term,49,D7
PERF340,STD005,Geography,SS3,First Term,27,F9
PERF341,STD005,Geography,SS3,Second Term,17,F9
PERF342,STD005,Geography,SS3,Third Term,72,B2
PERF343,STD005,Further Mathematics,SS1,First Term,77,A1
PERF344,STD005,Further Mathematics,SS1,Second Term,29,F9
PERF345,STD005,Further Mathematics,SS1,Third Term,61,C4
PERF346,STD005,Further Mathematics,SS2,First Term,57,C5
PERF347,STD005,Further Mathematics,SS2,Second Term,19,F9
PERF348,STD005,Further Mathematics,SS2,Third Term,47,D7
PERF349,STD005,Further Mathematics,SS3,First Term,47,D7
PERF350,STD005,Further Mathematics,SS3,Second Term,32,F9
PERF351,STD005,Further Mathematics,SS3,Third Term,30,F9
PERF352,STD005,Garment Making,SS1,First Term,50,C6
PERF353,STD005,Garment Making,SS1,Second Term,41,E8
PERF354,STD005,Garment Making,SS1,Third Term,30,F9
PERF355,STD005,Garment Making,SS2,First Term,31,F9
PERF356,STD005,Garment Making,SS2,Second Term,58,C5
PERF357,STD005,Garment Making,SS2,Third Term,84,A1
PERF358,STD005,Garment Making,SS3,First Term,54,C6
PERF359,STD005,Garment Making,SS3,Second Term,54,C6
PERF360,STD005,Garment Making,SS3,Third Term,93,A1
PERF361,STD006,English Studies,SS1,First Term,64,C4
PERF362,STD006,English Studies,SS1,Second Term,55,C5
PERF363,STD006,English Studies,SS1,Third Term,50,C6
PERF364,STD006,English Studies,SS2,First Term,61,C4
PERF365,STD006,English Studies,SS2,Second Term,37,F9
PERF366,STD006,English Studies,SS2,Third Term,48,D7
PERF367,STD006,English Studies,SS3,First Term,37,F9
PERF368,STD006,English Studies,SS3,Second Term,48,D7
PERF369,STD006,English Studies,SS3,Third Term,36,F9
PERF370,STD006,Mathematics,SS1,First Term,22,F9
PERF371,STD006,Mathematics,SS1,Second Term,49,D7
PERF372,STD006,Mathematics,SS1,Third Term,44,E8
PERF373,STD006,Mathematics,SS2,First Term,54,C6
PERF374,STD006,Mathematics,SS2,Second Term,51,C6
PERF375,STD006,Mathematics,SS2,Third Term,94,A1
PERF376,STD006,Mathematics,SS3,First Term,68,B3
PERF377,STD006,Mathematics,SS3,Second Term,94,A1
PERF378,STD006,Mathematics,SS3,Third Term,89,A1
PERF379,STD006,Civic Education,SS1,First Term,81,A1
PERF380,STD006,Civic Education,SS1,Second Term,38,F9
PERF381,STD006,Civic Education,SS1,Third Term,52,C6
PERF382,STD006,Civic Education,SS2,First Term,57,C5
PERF383,STD006,Civic Education,SS2,Second Term,78,A1
PERF384,STD006,Civic Education,SS2,Third Term,79,A1
PERF385,STD006,Civic Education,SS3,First Term,33,F9
PERF386,STD006,Civic Education,SS3,Second Term,26,F9
PERF387,STD006,Civic Education,SS3,Third Term,16,F9
PERF388,STD006,Economics,SS1,First Term,80,A1
PERF389,STD006,Economics,SS1,Second Term,52,C6
PERF390,STD006,Economics,SS1,Third Term,68,B3
PERF391,STD006,Economics,SS2,First Term,62,C4
PERF392,STD006,Economics,SS2,Second Term,35,F9
PERF393,STD006,Economics,SS2,Third Term,20,F9
PERF394,STD006,Economics,SS3,First Term,94,A1
PERF395,STD006,Economics,SS3,Second Term,32,F9
PERF396,STD006,Economics,SS3,Third Term,16,F9
PERF397,STD006,Food & Nutrition,SS1,First Term,52,C6
PERF398,STD006,Food & Nutrition,SS1,Second Term,25,F9
PERF399,STD006,Food & Nutrition,SS1,Third Term,40,E8
PERF400,STD006,Food & Nutrition,SS2,First Term,57,C5
PERF401,STD006,Food & Nutrition,SS2,Second Term,32,F9
PERF402,STD006,Food & Nutrition,SS2,Third Term,22,F9
PERF403,STD006,Food & Nutrition,SS3,First Term,85,A1
PERF404,STD006,Food & Nutrition,SS3,Second Term,62,C4
PERF405,STD006,Food & Nutrition,SS3,Third Term,48,D7
PERF406,STD006,Agricultural Science,SS1,First Term,43,E8
PERF407,STD006,Agricultural Science,SS1,Second Term,37,F9
PERF408,STD006,Agricultural Science,SS1,Third Term,89,A1
PERF409,STD006,Agricultural Science,SS2,First Term,81,A1
PERF410,STD006,Agricultural Science,SS2,Second Term,51,C6
PERF411,STD006,Agricultural Science,SS2,Third Term,49,D7
PERF412,STD006,Agricultural Science,SS3,First Term,94,A1
PERF413,STD006,Agricultural Science,SS3,Second Term,50,C6
PERF414,STD006,Agricultural Science,SS3,Third Term,88,A1
PERF415,STD006,Chemistry,SS1,First Term,35,F9
PERF416,STD006,Chemistry,SS1,Second Term,85,A1
PERF417,STD006,Chemistry,SS1,Third Term,45,D7
PERF418,STD006,Chemistry,SS2,First Term,95,A1
PERF419,STD006,Chemistry,SS2,Second Term,26,F9
PERF420,STD006,Chemistry,SS2,Third Term,68,B3
PERF421,STD006,Chemistry,SS3,First Term,38,F9
PERF422,STD006,Chemistry,SS3,Second Term,20,F9
PERF423,STD006,Chemistry,SS3,Third Term,44,E8
PERF424,STD006,Physics,SS1,First Term,50,C6
PERF425,STD006,Physics,SS1,Second Term,59,C5
PERF426,STD006,Physics,SS1,Third Term,17,F9
PERF427,STD006,Physics,SS2,First Term,66,B3
PERF428,STD006,Physics,SS2,Second Term,82,A1
PERF429,STD006,Physics,SS2,Third Term,60,C4
PERF430,STD006,Physics,SS3,First Term,75,A1
PERF431,STD006,Physics,SS3,Second Term,86,A1
PERF432,STD006,Physics,SS3,Third Term,77,A1
PERF433,STD006,Marketing,SS1,First Term,72,B2
PERF434,STD006,Marketing,SS1,Second Term,89,A1
PERF435,STD006,Marketing,SS1,Third Term,61,C4
PERF436,STD006,Marketing,SS2,First Term,29,F9
PERF437,STD006,Marketing,SS2,Second Term,60,C4
PERF438,STD006,Marketing,SS2,Third Term,80,A1
PERF439,STD006,Marketing,SS3,First Term,37,F9
PERF440,STD006,Marketing,SS3,Second Term,12,F9
PERF441,STD006,Marketing,SS3,Third Term,30,F9
PERF442,STD007,English Studies,SS1,First Term,70,B2
PERF443,STD007,English Studies,SS1,Second Term,75,A1
PERF444,STD007,English Studies,SS1,Third Term,31,F9
PERF445,STD007,English Studies,SS2,First Term,14,F9
PERF446,STD007,English Studies,SS2,Second Term,57,C5
PERF447,STD007,English Studies,SS2,Third Term,14,F9
PERF448,STD007,English Studies,SS3,First Term,42,E8
PERF449,STD007,English Studies,SS3,Second Term,71,B2
PERF450,STD007,English Studies,SS3,Third Term,51,C6
PERF451,STD007,Mathematics,SS1,First Term,60,C4
PERF452,STD007,Mathematics,SS1,Second Term,92,A1
PERF453,STD007,Mathematics,SS1,Third Term,66,B3
PERF454,STD007,Mathematics,SS2,First Term,49,D7
PERF455,STD007,Mathematics,SS2,Second Term,36,F9
PERF456,STD007,Mathematics,SS2,Third Term,61,C4
PERF457,STD007,Mathematics,SS3,First Term,23,F9
PERF458,STD007,Mathematics,SS3,Second Term,66,B3
PERF459,STD007,Mathematics,SS3,Third Term,59,C5
PERF460,STD007,Civic Education,SS1,First Term,25,F9
PERF461,STD007,Civic Education,SS1,Second Term,15,F9
PERF462,STD007,Civic Education,SS1,Third Term,75,A1
PERF463,STD007,Civic Education,SS2,First Term,32,F9
PERF464,STD007,Civic Education,SS2,Second Term,42,E8
PERF465,STD007,Civic Education,SS2,Third Term,76,A1
PERF466,STD007,Civic Education,SS3,First Term,49,D7
PERF467,STD007,Civic Education,SS3,Second Term,93,A1
PERF468,STD007,Civic Education,SS3,Third Term,73,B2
PERF469,STD007,Government,SS1,First Term,76,A1
PERF470,STD007,Government,SS1,Second Term,30,F9
PERF471,STD007,Government,SS1,Third Term,84,A1
PERF472,STD007,Government,SS2,First Term,27,F9
PERF473,STD007,Government,SS2,Second Term,22,F9
PERF474,STD007,Government,SS2,Third Term,15,F9
PERF475,STD007,Government,SS3,First Term,93,A1
PERF476,STD007,Government,SS3,Second Term,26,F9
PERF477,STD007,Government,SS3,Third Term,40,E8
PERF478,STD007,Literature-in-English,SS1,First Term,62,C4
PERF479,STD007,Literature-in-English,SS1,Second Term,79,A1
PERF480,STD007,Literature-in-English,SS1,Third Term,45,D7
PERF481,STD007,Literature-in-English,SS2,First Term,92,A1
PERF482,STD007,Literature-in-English,SS2,Second Term,86,A1
PERF483,STD007,Literature-in-English,SS2,Third Term,90,A1
PERF484,STD007,Literature-in-English,SS3,First Term,33,F9
PERF485,STD007,Literature-in-English,SS3,Second Term,94,A1
PERF486,STD007,Literature-in-English,SS3,Third Term,38,F9
PERF487,STD007,History,SS1,First Term,12,F9
PERF488,STD007,History,SS1,Second Term,36,F9
PERF489,STD007,History,SS1,Third Term,93,A1
PERF490,STD007,History,SS2,First Term,27,F9
PERF491,STD007,History,SS2,Second Term,38,F9
PERF492,STD007,History,SS2,Third Term,34,F9
PERF493,STD007,History,SS3,First Term,28,F9
PERF494,STD007,History,SS3,Second Term,63,C4
PERF495,STD007,History,SS3,Third Term,37,F9
PERF496,STD007,French,SS1,First Term,56,C5
PERF497,STD007,French,SS1,Second Term,54,C6
PERF498,STD007,French,SS1,Third Term,34,F9
PERF499,STD007,French,SS2,First Term,64,C4
PERF500,STD007,French,SS2,Second Term,35,F9
